Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MarketCap,Revenue_Growth,Earnings_Growth,ROE,Operating_Margins,Debt_To_Equity,Returns_1Y,Returns_2Y,Returns_3Y,Volume_MA50,Volume_Ratio,Volatility,Price_Level,Higher_Highs
2021-11-09 00:00:00+05:30,162.0,163.3000030517578,161.14999389648438,162.25,931341,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,,,False
2021-11-10 00:00:00+05:30,162.0,165.5,161.3000030517578,161.64999389648438,1083074,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,,,False
2021-11-11 00:00:00+05:30,161.85000610351562,162.5,159.64999389648438,160.64999389648438,630169,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,,,False
2021-11-12 00:00:00+05:30,161.5,166.14999389648438,160.75,162.60000610351562,2923817,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,,,False
2021-11-15 00:00:00+05:30,167.3000030517578,169.0,161.5,162.5,2809026,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,,,False
2021-11-16 00:00:00+05:30,162.5,165.3000030517578,161.5500030517578,162.60000610351562,1467065,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,,,False
2021-11-17 00:00:00+05:30,162.0,162.60000610351562,159.0,159.5500030517578,851366,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,,,False
2021-11-18 00:00:00+05:30,161.0,161.0,152.5,155.5500030517578,1920946,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,,,False
2021-11-22 00:00:00+05:30,156.10000610351562,156.75,150.0,151.5,1139162,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,,,False
2021-11-23 00:00:00+05:30,152.14999389648438,155.64999389648438,152.10000610351562,154.35000610351562,1425227,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,,,False
2021-11-24 00:00:00+05:30,156.85000610351562,160.0,155.5500030517578,157.0,1163671,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,,,False
2021-11-25 00:00:00+05:30,157.0,159.5,156.1999969482422,158.25,735891,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,,,False
2021-11-26 00:00:00+05:30,156.0,156.8000030517578,151.9499969482422,152.60000610351562,1172741,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,,,False
2021-11-29 00:00:00+05:30,150.85000610351562,150.85000610351562,143.0,143.75,1898981,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,,,False
2021-11-30 00:00:00+05:30,145.89999389648438,150.0,145.0,148.4499969482422,1109910,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,,,False
2021-12-01 00:00:00+05:30,148.0,150.39999389648438,147.10000610351562,148.0,620267,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,,,False
2021-12-02 00:00:00+05:30,148.10000610351562,148.9499969482422,147.5,148.60000610351562,432273,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,,,False
2021-12-03 00:00:00+05:30,149.39999389648438,153.25,149.1999969482422,152.10000610351562,809820,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,,,False
2021-12-06 00:00:00+05:30,148.64999389648438,151.1999969482422,147.5500030517578,148.10000610351562,500988,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,,,False
2021-12-07 00:00:00+05:30,149.5,149.85000610351562,146.3000030517578,147.8000030517578,594286,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,,,False
2021-12-08 00:00:00+05:30,150.0,156.35000610351562,149.9499969482422,152.5500030517578,1566700,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,0.37189888821102035,,False
2021-12-09 00:00:00+05:30,154.5,165.8000030517578,154.5,162.64999389648438,7707760,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,0.445245336816298,,False
2021-12-10 00:00:00+05:30,162.0,162.0,157.85000610351562,159.14999389648438,3228620,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,0.4516619658736714,,False
2021-12-13 00:00:00+05:30,162.64999389648438,163.5,158.0,158.25,1552790,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,0.4496868631443754,,False
2021-12-14 00:00:00+05:30,157.0,158.1999969482422,154.8000030517578,156.0,927299,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,0.45212818718601366,,False
2021-12-15 00:00:00+05:30,156.75,160.89999389648438,154.5500030517578,155.39999389648438,2566086,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,0.45210838239992956,,False
2021-12-16 00:00:00+05:30,158.0,158.0,152.8000030517578,153.35000610351562,808632,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,0.44977789974566895,,False
2021-12-17 00:00:00+05:30,153.89999389648438,154.8000030517578,146.8000030517578,147.89999389648438,1387763,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,0.45847481080121244,,False
2021-12-20 00:00:00+05:30,145.0,146.39999389648438,140.3000030517578,142.3000030517578,1213971,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,0.46846938254105686,,False
2021-12-21 00:00:00+05:30,143.60000610351562,145.4499969482422,143.0500030517578,144.1999969482422,596431,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,0.465533511881691,,False
2021-12-22 00:00:00+05:30,144.0,144.0,140.0,143.0500030517578,1369555,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,0.4596123313573241,,False
2021-12-23 00:00:00+05:30,144.1999969482422,146.39999389648438,144.0500030517578,144.89999389648438,672189,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,0.46169721415080384,,False
2021-12-24 00:00:00+05:30,145.8000030517578,145.85000610351562,142.8000030517578,143.1999969482422,650134,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,0.4474856713510603,,False
2021-12-27 00:00:00+05:30,142.25,142.8000030517578,140.4499969482422,142.4499969482422,501965,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,0.3975772361926744,,False
2021-12-28 00:00:00+05:30,143.14999389648438,143.9499969482422,141.14999389648438,141.5500030517578,1235774,0.0,0.0,45266452480,0.012,,-0.39220002,-0.04348,293.76,,,,,,0.37847560726751317,,False
